District,Population,Inflow,initI,initN,day14_best_case,day21_best_case,day14_realistic,day21_realistic,day14_worst_case,day21_worst_case
Nagaon,2823768,3049,30,2823768,32,728,159,4811,965,11740
Dhubri,1949258,1633,16,1949258,17,394,85,2862,533,7679
Sonitpur,1924110,3501,35,1924110,38,810,183,4310,1019,8836
Cachar,1736617,1352,13,1736617,14,322,69,2411,438,6705
Barpeta,1693622,1556,15,1693622,16,368,80,2601,495,6782
Kamrup,1517542,1582,15,1517542,16,365,79,2483,488,6218
Tinsukia,1327929,760,7,1327929,7,176,37,1470,244,4720
Dibrugarh,1326335,3481,34,1326335,36,753,175,3453,910,6438
Kamrup Metropolitan,1253938,840,8,1253938,8,199,42,1574,274,4667
Karimganj,1228686,1542,15,1228686,16,360,79,2257,472,5249
Sivasagar,1151050,802,8,1151050,8,199,42,1526,272,4370
Jorhat,1092256,1499,14,1092256,15,335,74,2059,437,4710
Golaghat,1066888,1011,10,1066888,10,244,53,1693,328,4323
Lakhimpur,1042137,2043,20,1042137,21,460,104,2392,575,4829
Goalpara,1008183,1043,10,1008183,10,243,53,1653,325,4133
Morigaon,957423,3330,33,957423,35,697,168,2799,809,4853
Karbi Anglong,956313,755,7,956313,7,173,37,1309,236,3673
Baksa,950075,1283,12,950075,13,287,63,1777,375,4085
Darrang,928500,2336,23,928500,24,512,119,2383,621,4483
Kokrajhar,887142,264,2,887142,2,51,10,521,73,2477
Udalguri,831668,914,9,831668,9,218,47,1431,289,3470
Nalbari,771639,915,9,771639,9,217,47,1383,285,3268
Bongaigaon,738804,639,6,738804,6,148,32,1078,200,2904
Dhemaji,686133,1625,16,686133,17,359,83,1716,439,3281
Hailakandi,659296,548,5,659296,5,123,26,922,168,2552
Chirang,482162,470,4,482162,4,98,21,712,133,1904
Dima Hasao,214102,387,3,214102,3,71,15,422,92,938
