"estimate","lower","upper","onset_date","n.reported"
2,2,2,2020-03-06,2
0,0,0,2020-03-07,NA
3,3,4,2020-03-08,3
0,0,1,2020-03-09,NA
1,1,2,2020-03-10,1
1,1,2,2020-03-11,1
3,3,4,2020-03-12,3
0,0,1,2020-03-13,NA
2,2,4,2020-03-14,2
3,3,5,2020-03-15,3
2,2,4,2020-03-16,2
1,1,3,2020-03-17,1
7,7,10,2020-03-18,7
5,5,8,2020-03-19,5
1,1,4,2020-03-20,1
4,4,7,2020-03-21,4
6,5,9,2020-03-22,5
9,8,13,2020-03-23,8
7,6,11,2020-03-24,6
17,15,23,2020-03-25,15
15,13,21,2020-03-26,13
11,10,16,2020-03-27,10
8,7,12,2020-03-28,7
7,6,11,2020-03-29,6
8,7,12,2020-03-30,7
3,2,6,2020-03-31,2
13,12,19,2020-04-01,12
8,7,13,2020-04-02,7
12,10,17,2020-04-03,10
12,10,17,2020-04-04,10
10,9,15,2020-04-05,9
11,10,16,2020-04-06,10
6,5,10,2020-04-07,5
7,6,10,2020-04-08,6
5,5,8,2020-04-09,5
0,0,2,2020-04-10,NA
0,0,1,2020-04-11,NA
0,0,1,2020-04-12,NA
0,0,1,2020-04-13,NA
0,0,1,2020-04-14,NA
0,0,1,2020-04-15,NA
0,0,1,2020-04-16,NA
0,0,1,2020-04-17,NA
0,0,1,2020-04-18,NA
0,0,2,2020-04-19,NA
0,0,2,2020-04-20,NA
0,0,2,2020-04-21,NA
0,0,3,2020-04-22,NA
0,0,3,2020-04-23,NA
0,0,3,2020-04-24,NA
